,code,name
0,600000,浦发银行
1,600010,包钢股份
2,600015,华夏银行
3,600016,民生银行
4,600018,上港集团
5,600028,中国石化
6,600030,中信证券
7,600036,招商银行
8,600048,保利地产
9,600050,中国联通
10,600089,特变电工
11,600104,上汽集团
12,600109,国金证券
13,600111,北方稀土
14,600150,中国船舶
15,600256,广汇能源
16,600406,国电南瑞
17,600518,康美药业
18,600519,贵州茅台
19,600583,海油工程
20,600585,海螺水泥
21,600637,东方明珠
22,600690,青岛海尔
23,600837,海通证券
24,600887,伊利股份
25,600893,中航动力
26,600958,东方证券
27,600999,招商证券
28,601006,大秦铁路
29,601088,中国神华
30,601166,兴业银行
31,601169,北京银行
32,601186,中国铁建
33,601288,农业银行
34,601318,中国平安
35,601328,交通银行
36,601390,中国中铁
37,601398,工商银行
38,601601,中国太保
39,601628,中国人寿
40,601668,中国建筑
41,601688,华泰证券
42,601766,中国中车
43,601800,中国交建
44,601818,光大银行
45,601857,中国石油
46,601901,方正证券
47,601988,中国银行
48,601989,中国重工
49,601998,中信银行
